TrainingCount,Proficiency,SuccessRate,ValidTrials,ErrorCount
0,0,0,10,0
10,8.675,0,10,0
20,13.375,0,10,1
30,20.39489,0,10,0
40,27.19489,0,10,0
50,33.9949,0,10,0
60,41.4949,0,10,0
70,54.08,100,10,0
80,64.48,100,10,63
90,73.51326,100,10,1
100,82.44328,100,10,0
