TrainingCount,Proficiency,SuccessRate,ValidTrials,ErrorCount
0,0,0,10,0
10,1.159125,0,10,0
20,1.367954,0,10,0
30,1.529953,0,10,0
40,3.074453,0,10,0
50,6.07,0,10,0
60,9.242001,0,10,1
70,12.402,0,10,0
80,18.102,0,10,0
90,22.442,0,10,0
100,27.0123,0,10,0
