TrainingCount,Proficiency,SuccessRate,ValidTrials,ErrorCount
0,0,0,10,0
10,7.869999,0,10,1
20,13.17,0,10,0
30,17.945,0,10,0
40,28.065,0,10,0
50,41.04325,100,10,3
60,51.14326,100,10,3
70,63.29652,100,10,0
80,73.59652,100,10,0
90,82.13687,100,10,0
100,87.47705,100,10,3
