TrainingCount,Proficiency,SuccessRate,ValidTrials,ErrorCount
0,0,0,10,0
10,10.365,0,10,0
20,15.465,0,10,0
30,23.265,0,10,0
40,30.48615,0,10,0
50,37.28614,0,10,0
60,45.53614,50,10,0
70,56.03614,50,10,0
80,65.53929,60,10,0
90,75.78,60,10,0
100,83.03999,80,10,0
