TrainingCount,Proficiency,SuccessRate,ValidTrials,ErrorCount
0,0,0,10,0
10,7.485,0,10,0
20,11.49125,0,10,0
30,16.59125,0,10,0
40,24.99125,0,10,0
50,41.99125,0,10,1
60,52.04125,0,10,0
70,61.18182,40,10,0
80,71.18182,60,10,2
90,81.28181,60,10,0
100,85.4317,50,10,0
