TrainingCount,Proficiency,SuccessRate,ValidTrials,ErrorCount
0,0,100,10,0
10,10.2875,100,10,0
20,18.0575,0,10,1
30,24.7925,100,10,0
40,32.2925,100,10,0
50,42.8925,100,10,1
60,52.6925,100,10,1
70,63.16395,100,10,3
80,73.26395,100,10,1
90,82.23895,100,10,0
100,88.24798,100,10,0
