TrainingCount,Proficiency,SuccessRate,ValidTrials,ErrorCount
0,0,0,10,0
10,0.4305,0,10,0
20,0.4665,0,10,0
30,0.5142499,0,10,0
40,1.76225,0,10,0
50,4.10225,0,10,0
60,8.30225,0,10,0
70,11.1433,0,10,0
80,19.0475,0,10,0
90,28.0175,0,10,0
100,31.2075,0,10,1
