TrainingCount,Proficiency,SuccessRate,ValidTrials,ErrorCount
0,0,0,10,0
10,7.184,0,10,0
20,12.6104,0,10,0
30,18.4904,0,10,1
40,26.2904,0,10,0
50,32.4904,0,10,0
60,42.0904,0,10,1
70,52.09041,40,10,2
80,61.8364,60,10,3
90,73.11336,60,10,0
100,82.02337,80,10,1
